"rss_mb","priv_mb","cpu_sec","handles","threads"
"2.41","0.38","0","23","1"
"5","0.75","0.015625","77","2"
"5","0.75","0.015625","77","2"
"5","0.75","0.015625","77","2"
"5","0.75","0.03125","77","2"
"5","0.75","0.03125","77","2"
"5","0.75","0.03125","77","2"
"5","0.75","0.03125","77","2"
"5","0.75","0.03125","77","2"
"5","0.75","0.03125","77","2"
"5","0.75","0.03125","77","2"
"5","0.75","0.046875","77","2"
"5","0.75","0.046875","77","2"
"5","0.75","0.046875","77","2"
"5","0.75","0.046875","77","2"
"5","0.75","0.078125","77","2"
"5","0.75","0.09375","77","2"
"5","0.75","0.09375","77","2"
"5","0.75","0.09375","77","2"
