"rss_mb","priv_mb","cpu_sec","handles","threads"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
"4.92","0.68","0","77","2"
