"rss_mb","priv_mb","cpu_sec","handles","threads"
"2.41","0.38","0","23","1"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.03125","77","2"
"4.94","0.68","0.046875","77","2"
"4.94","0.68","0.046875","77","2"
"4.94","0.68","0.046875","77","2"
"4.94","0.68","0.0625","77","2"
"4.94","0.68","0.0625","77","2"
"4.94","0.68","0.078125","77","2"
"4.94","0.68","0.078125","77","2"
"4.94","0.68","0.078125","77","2"
